City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
476,tutoia,-2.7619,-42.2744,24.58,88,100,3.04,BR,1675819925
477,sibolga,1.7427,98.7792,26.86,60,100,0.62,ID,1675819926
478,copiapo,-27.3667,-70.3333,16.83,51,56,1.75,CL,1675819678
479,broome,42.2506,-75.833,4.14,75,100,4.92,US,1675819926
480,puerto madryn,-42.7692,-65.0385,19.83,51,0,3.74,AR,1675819927
481,manokwari,-0.8667,134.0833,26.15,85,100,0.77,ID,1675819927
482,victoria falls,-17.9235,25.843,18.63,86,84,1.39,ZW,1675819928
483,zonguldak,41.25,31.8333,-3.87,96,100,1.29,TR,1675819928
484,saquarema,-22.92,-42.5103,23.75,93,100,1.13,BR,1675819929
485,emerald,-23.5333,148.1667,27.97,54,20,4.57,AU,1675819929
486,mounana,-1.4085,13.1586,22.25,89,89,0.93,GA,1675819930
487,santa maria,-29.6842,-53.8069,24.61,65,20,3.09,BR,1675819805
488,kondinskoye,59.6481,67.41,-25.75,100,100,2.18,RU,1675819930
489,puerto narino,-3.7703,-70.3831,22.47,98,88,0.21,CO,1675819930
490,snasa,64.2457,12.3778,1.67,94,72,2.44,NO,1675819931
491,chake chake,-5.2459,39.7666,25.09,83,68,3.38,TZ,1675819931
492,camacupa,-12.0167,17.4833,15.91,82,100,0.64,AO,1675819932
493,taoudenni,22.6783,-3.9836,17.64,20,100,5.11,ML,1675819932
494,tenenkou,14.4572,-4.9169,25.46,16,56,4.46,ML,1675819933
495,belmonte,-15.8631,-38.8828,25.51,78,5,3.92,BR,1675819688
496,evensk,61.95,159.2333,-26.64,76,59,3.03,RU,1675819933
497,dongli,23.5656,116.8194,17.99,82,75,1.0,CN,1675819934
498,sioux lookout,50.1001,-91.917,-7.96,73,40,2.57,CA,1675819934
499,vanderhoof,54.0166,-124.0198,-3.87,98,100,1.4,CA,1675819934
500,gombong,-7.6072,109.5142,25.64,85,100,1.17,ID,1675819935
501,chara,56.9064,118.2631,-21.45,78,90,1.16,RU,1675819935
502,dubbo,-32.25,148.6167,30.07,42,40,3.09,AU,1675819936
503,babu,24.4167,111.5167,13.37,96,100,1.49,CN,1675819936
504,santo domingo,18.5001,-69.9886,25.02,82,20,2.57,DO,1675819405
505,shelburne,44.0787,-80.2041,1.42,96,100,6.17,CA,1675819842
506,steubenville,40.3698,-80.634,10.68,83,100,1.34,US,1675819937
507,llanes,43.4198,-4.7549,6.72,76,3,5.37,ES,1675819937
508,la asuncion,11.0333,-63.8628,23.93,87,98,6.09,VE,1675819758
509,mbuji-mayi,-6.15,23.6,20.45,92,100,1.54,CD,1675819938
510,college,64.8569,-147.8028,-11.0,78,75,0.0,US,1675819915
511,maues,-3.3836,-57.7186,23.16,97,100,0.25,BR,1675819939
512,san policarpo,12.1791,125.5072,27.38,74,100,6.6,PH,1675819939
513,port augusta,-32.5,137.7667,34.29,14,0,1.42,AU,1675819910
514,san patricio,28.017,-97.5169,23.42,80,94,6.22,US,1675819940
515,idah,7.1065,6.7342,25.25,75,40,1.93,NG,1675819940
516,ende,-8.8432,121.6623,29.0,75,18,0.16,ID,1675819941
517,pauini,-7.7136,-66.9764,22.57,93,98,0.87,BR,1675819941
518,wangqing,43.3218,129.7634,-6.66,58,11,2.87,CN,1675819942
519,luena,-11.7833,19.9167,16.24,94,100,0.65,AO,1675819942
520,pitimbu,-7.4706,-34.8086,25.33,73,99,4.01,BR,1675819943
521,sorong,-0.8833,131.25,26.8,81,100,1.64,ID,1675819943
522,ryotsu,38.0833,138.4333,5.96,70,61,2.3,JP,1675819944
523,aykhal,66.0,111.5,-38.48,100,82,1.25,RU,1675819944
524,socol,44.8608,21.3703,-4.34,86,100,0.97,RO,1675819944
525,springbok,-29.6643,17.8865,16.27,74,15,1.26,ZA,1675819945
526,lukulu,-14.3707,23.242,17.78,98,100,2.1,ZM,1675819945
527,gushikawa,26.3544,127.8686,20.77,73,75,3.6,JP,1675819946
528,leszno,51.8403,16.5749,-1.1,85,7,2.41,PL,1675819946
529,lagunas,-5.2269,-75.6753,23.13,88,51,0.95,PE,1675819946
530,pozoblanco,38.3791,-4.8483,4.78,91,100,1.44,ES,1675819947
531,mezen,65.8522,44.24,1.27,98,100,4.8,RU,1675819947
532,namibe,-15.1961,12.1522,21.12,75,95,2.09,AO,1675819948
533,palana,59.1167,159.9667,-24.18,95,100,5.06,RU,1675819948
534,christchurch,-43.5333,172.6333,24.67,51,20,6.17,NZ,1675819683
535,joshimath,30.5667,79.5667,1.85,36,1,4.37,IN,1675819949
536,tura,25.5198,90.2201,17.88,47,97,1.02,IN,1675819949
